ID	congr	freq	TFrq	FlFrq	RT	amplFfull_norm	amplTfull_norm	amplFpost_norm	amplTpost_norm	amplFpre_norm	amplTpre_norm	alpha_abs	alpha	cond	theta_norm
4	1	1	10	7	675.781	0.500516	0.742599	-0.912062	0.0164549	0.754837	0.943324	0.5	10.5	1	-0.2559
4	0	1	10	7	625	0.0898203	0.629324	0.307311	0.853455	1.37286	2.17283	0.5	10.5	1	-1.09557
4	1	1	10	7	600.586	0.244231	-0.104584	-1.18223	-0.706973	0.846457	-0.441625	0.5	10.5	1	0.224924
4	0	1	10	7	701.172	0.0677451	0.145441	-0.335644	0.976096	2.25083	-1.2182	0.5	10.5	1	-0.205781
4	0	1	10	7	442.383	1.54076	0.360349	0.221083	0.104584	0.364507	-0.248113	0.5	10.5	1	0.183003
4	1	1	10	7	442.383	0.598034	0.240356	-0.935374	-1.32643	0.562804	0.0824533	0.5	10.5	1	0.689726
4	0	1	10	7	717.773	-0.656259	0.381262	-0.984547	-0.228772	-1.15939	0.967752	0.5	10.5	1	1.02851
4	1	1	10	7	575.195	-0.201971	0.171685	-2.80382	-0.201971	0.927515	0.730548	0.5	10.5	1	-0.767268
4	0	1	10	7	692.383	0.240356	-0.283402	-1.66233	3.15131	2.17283	-0.45495	0.5	10.5	1	-1.42342
4	0	1	10	7	609.375	0.825857	0.459426	-0.108282	-0.217248	0.543231	0.368677	0.5	10.5	1	0.368677
4	1	1	10	7	666.992	0.468429	-0.32344	0.152918	0.236488	0.134256	1.02851	0.5	10.5	1	-0.0677451
4	1	1	10	7	408.203	0.424084	-0.236488	0.0640729	-0.724589	0.319393	-0.319393	0.5	10.5	1	0.736551
4	0	1	10	7	466.797	0.459426	0.201971	-0.385482	0.415406	2.80382	-0.372859	0.5	10.5	1	0.263718
4	0	1	10	7	500.977	0.552969	0.853455	-0.52403	-0.904464	-0.799254	0.248113	0.5	10.5	1	0.0677451
4	0	1	10	7	392.578	1.44134	1.01057	0.548088	-0.557874	0.52403	-0.21342	0.5	10.5	1	-0.701184
4	1	1	10	7	508.789	0.59292	0.385482	0.335644	-0.0457357	1.5194	0.608346	0.5	10.5	1	0.0201124
4	0	1	10	7	492.188	0.860522	1.04696	1.03767	0.904464	-0.389716	0.500516	0.5	10.5	1	-0.275504
4	0	1	10	7	642.578	1.85772	-0.205781	0.327498	-0.88951	-0.00914102	-0.299305	0.5	10.5	1	0.904464
4	1	1	10	7	642.578	0.104584	0.00182816	0.0530662	0.205781	-0.327498	-0.562804	0.5	10.5	1	0.271567
4	0	1	10	7	500.977	0.724589	-0.792749	0.411089	-1.81973	1.35696	0.244231	0.5	10.5	1	-0.228772
4	0	1	10	7	508.789	0.874868	1.85772	-0.393963	1.94312	1.01057	0.45495	0.5	10.5	1	0.267638
4	1	1	10	7	675.781	-0.441625	-0.0604024	1.29743	0.186786	-0.689726	-0.228772	0.5	10.5	1	1.14828
4	0	1	10	7	817.383	0.491253	-0.0935074	0.88951	-0.0164549	0.0714192	0.491253	0.5	10.5	1	-0.402498
4	1	1	10	7	492.188	-0.66727	-0.552969	-0.368677	0.0787731	-0.311329	-0.194367	0.5	10.5	1	0.491253
4	1	1	10	7	617.188	0.572738	0.263718	-0.0310886	1.10576	1.26982	1.5194	0.5	10.5	1	1.11612
4	1	1	10	7	525.391	-0.115687	0.993106	0.240356	1.34149	0.271567	0.846457	0.5	10.5	1	0.232627
4	0	1	10	7	675.781	1.31175	0.217248	1.14828	0.587835	0.701184	-0.860522	0.5	10.5	1	0.919745
4	0	1	10	15	550.781	0.557874	-0.232627	0.538397	-0.587835	1.479	0.352068	0.5	10.5	2	-0.695436
4	1	1	10	15	492.188	1.61039	1.54076	-0.201971	-0.295316	0.377054	0.904464	0.5	10.5	2	-0.491253
4	1	1	10	15	508.789	0.00914102	2.60017	0.799254	1.31175	-1.37286	-0.0971971	0.5	10.5	2	0.32344
4	1	1	10	15	558.594	-1.10576	1.2182	-0.450492	-0.0824533	0.00182816	-0.119394	0.5	10.5	2	-0.509859
4	0	1	10	15	541.992	-0.839525	1.09557	-0.613545	-0.2559	-0.993106	0.742599	0.5	10.5	2	0.244231
4	1	1	10	15	458.984	0.577744	0.748694	0.164165	0.335644	-0.303303	-0.224924	0.5	10.5	2	0.562804
4	0	1	10	15	458.008	0.912062	0.672828	0.812437	-0.198166	-0.805817	0.661747	0.5	10.5	2	0.252003
4	1	1	10	15	550.781	0.368677	0.661747	-0.706973	-1.05639	0.66727	2.25083	0.5	10.5	2	-1.38922
4	1	1	10	15	641.602	2.34291	-0.123104	0.582776	0.45495	0.287365	-0.0567336	0.5	10.5	2	-0.279449
4	1	1	10	15	525.391	1.14828	-0.343834	0.839525	-0.477503	0.786299	1.23069	0.5	10.5	2	0.307311
4	1	1	10	15	616.211	0.00548452	0.372859	1.18223	0.0237705	-1.00178	0.812437	0.5	10.5	2	1.40606
4	0	1	10	15	525.391	1.63573	0.912062	0.419738	0.201971	0.482067	0.141709	0.5	10.5	2	-0.742599
4	1	1	10	15	858.398	1.69031	0.656259	0.279449	0.882151	1.20597	-1.01057	0.5	10.5	2	-0.736551
4	1	1	10	15	408.203	0.428446	0.411089	-0.799254	-0.190574	-0.00548452	1.66233	0.5	10.5	2	-0.356202
4	1	1	10	15	500	2.60017	1.5194	0.0677451	0.943324	0.672828	0.406786	0.5	10.5	2	1.29743
4	0	1	10	15	508.789	1.58618	1.1707	1.45985	-0.186786	0.912062	0.993106	0.5	10.5	2	-0.432823
4	0	1	10	15	558.594	0.175453	-0.364507	-0.248113	0.198166	-0.100889	-0.0787731	0.5	10.5	2	0.678424
4	1	1	10	15	592.773	0.567758	0.482067	-1.04696	-0.263718	2.34291	0.672828	0.5	10.5	2	0.587835
4	1	1	10	15	833.984	-0.495875	0.190574	0.319393	0.0127978	-0.904464	-0.724589	0.5	10.5	2	-1.03767
4	1	1	10	15	475.586	0.528797	0.650806	1.23069	0.839525	-0.538397	-0.0164549	0.5	10.5	2	0.706973
4	1	1	10	15	492.188	-0.0494003	-0.303303	1.81973	0.538397	-0.331566	0.779903	0.5	10.5	2	1.1707
4	0	1	10	15	708.984	0.882151	1.66233	0.505177	0.0310886	0.267638	0.201971	0.5	10.5	2	-0.904464
4	0	1	10	15	349.609	0.976096	1.37286	0.767268	0.77356	1.63573	0.419738	0.5	10.5	2	0.463918
4	1	1	10	15	408.203	1.26982	3.15131	-0.587835	1.1707	0.904464	-0.356202	0.5	10.5	2	0.339734
4	1	1	10	15	650.391	0.562804	-0.730548	0.232627	0.730548	0.799254	-0.59292	0.5	10.5	2	-0.463918
4	0	1	10	15	850.586	0.398223	0.389716	-0.0787731	1.06596	-0.291336	-0.244231	0.5	10.5	2	-0.543231
4	1	1	10	15	716.797	-0.0310886	0.0310886	-0.805817	1.37286	0.307311	1.11612	0.5	10.5	2	-0.0898203
4	0	1	10	15	549.805	1.01948	2.04532	-0.183003	0.459426	0.505177	1.01948	0.5	10.5	2	0.119394
4	1	1	10	15	558.594	-0.624034	0.00914102	0.141709	-0.672828	-1.2182	0.927515	0.5	10.5	2	-2.60017
4	1	1	10	15	591.797	0.645386	0.0640729	-0.459426	0.59292	0.477503	0.468429	0.5	10.5	2	-1.61039
4	0	1	10	15	600.586	0.0310886	0.224924	-0.156662	0.279449	-0.919745	0.0935074	0.5	10.5	2	0.500516
4	1	1	10	15	583.008	0.0971971	0.730548	1.7843	-0.500516	-0.860522	0.896947	0.5	10.5	2	0.179226
4	1	1	10	15	625	0.248113	-0.446051	-1.02851	0.993106	1.19398	-0.389716	0.5	10.5	2	-0.724589
4	0	0	15	10	684.57	-1.58618	0.64	1.00178	1.58618	0.145441	-0.385482	0.5	10.5	4	-0.562804
4	1	0	15	10	425.781	0.194367	0.754837	-0.339734	-0.175453	-0.567758	-0.472956	0.5	10.5	4	-0.0935074
4	0	0	15	10	583.984	0.629324	1.42342	0.259805	0.867659	0.299305	0.111983	0.5	10.5	4	0.742599
4	0	0	15	10	558.594	-1.81973	0.684056	-1.44134	0.533585	-0.867659	0.919745	0.5	10.5	4	0.684056
4	0	0	15	10	350.586	0.495875	1.35696	-0.331566	0.505177	0.976096	0.951369	0.5	10.5	4	-1.31175
4	1	0	15	10	525.391	-0.428446	0.88951	-0.967752	-0.303303	0.951369	0.209598	0.5	10.5	4	-0.0861356
4	0	0	15	10	500	1.34149	0.406786	0.761028	1.26982	1.18223	-0.123104	0.5	10.5	4	-0.252003
4	0	0	15	10	675.781	1.81973	0.0898203	0.552969	-0.509859	1.10576	0.557874	0.5	10.5	4	-0.156662
4	1	0	15	10	558.594	1.13738	1.06596	1.58618	0.381262	-0.552969	-0.252003	0.5	10.5	4	-0.319393
4	1	0	15	10	517.578	-0.108282	0.21342	-0.00182816	0.463918	-0.672828	0.0237705	0.5	10.5	4	0.303303
4	0	0	15	10	541.992	0.919745	2.80382	0.52403	0.935374	0.577744	-0.315356	0.5	10.5	4	0.839525
4	0	0	15	10	433.594	-0.967752	0.0274292	0.672828	-0.495875	-0.706973	-0.543231	0.5	10.5	4	0.352068
4	0	0	15	10	625	0.0824533	-0.186786	0.149177	0.0201124	0.867659	-1.08555	0.5	10.5	4	0.0604024
4	1	0	15	10	534.18	-0.0714192	0.335644	-0.311329	0.339734	-0.0237705	-0.205781	0.5	10.5	4	0.385482
4	0	0	15	10	467.773	-0.463918	2.34291	-1.13738	0.799254	-2.04532	0.650806	0.5	10.5	4	0.0567336
4	1	0	15	10	492.188	-0.976096	0.415406	-1.24344	1.61039	-0.748694	0.0530662	0.5	10.5	4	-1.63573
4	1	0	15	10	525.391	-0.111983	1.12666	1.37286	0.137981	-0.572738	0.548088	0.5	10.5	4	0.598034
4	0	0	15	10	391.602	-0.661747	0.867659	-0.896947	-0.115687	-0.279449	0.303303	0.5	10.5	4	-0.179226
4	1	0	15	10	650.391	-2.25083	-0.398223	-0.287365	0.0898203	-0.656259	-0.943324	0.5	10.5	4	0.0824533
4	0	0	15	10	433.594	-0.424084	0.315356	-0.819116	0.66727	-0.935374	-0.64	0.5	10.5	4	-1.29743
4	0	0	15	10	392.578	-0.411089	1.05639	-0.0347489	0.252003	-0.141709	0.411089	0.5	10.5	4	-2.80382
4	1	0	15	10	567.383	0.279449	0.0420723	0.0898203	-1.04696	1.09557	1.06596	0.5	10.5	4	0.64
4	0	0	15	10	541.992	0.377054	2.25083	-0.398223	0.0714192	0.695436	0.194367	0.5	10.5	4	-0.248113
4	1	0	15	10	433.594	-0.283402	1.563	-0.959511	0.428446	0.356202	1.26982	0.5	10.5	4	0.976096
4	1	0	15	10	708.984	0.514562	-0.437217	2.17283	1.13738	-0.0787731	0.0604024	0.5	10.5	4	-1.58618
4	0	0	15	10	525.391	-0.730548	-0.240356	0.368677	0.424084	-1.5194	-1.06596	0.5	10.5	4	-1.7843
4	1	0	15	10	466.797	0.441625	0.959511	1.34149	0.160411	0.130535	0.66727	0.5	10.5	4	-1.1707
4	0	0	15	10	417.969	0.582776	-0.846457	-0.343834	-2.04532	1.563	-0.984547	0.5	10.5	4	-0.411089
4	1	0	15	10	534.18	0.0604024	-0.00914102	1.69031	0.832659	-0.77356	1.69031	0.5	10.5	4	-0.339734
4	0	0	15	10	483.398	-0.190574	-0.164165	0.495875	0.812437	0.152918	0.198166	0.5	10.5	4	1.18223
4	1	0	15	10	792.969	0.303303	0.491253	-0.672828	-0.446051	0.446051	0.267638	0.5	10.5	4	-0.748694
4	1	0	15	10	784.18	1.20597	1.45985	0.867659	0.754837	0.656259	-0.656259	0.5	10.5	4	1.61039
4	0	0	15	10	758.789	-1.1707	-0.152918	-0.519285	-0.108282	-0.598034	1.85772	0.5	10.5	4	-0.327498
4	1	0	15	10	508.789	-0.248113	0.48665	-0.111983	-0.608346	-0.634646	1.24344	0.5	10.5	4	0.943324
4	0	0	15	10	567.383	-0.874868	-0.799254	0.190574	-0.959511	-0.424084	-0.327498	0.5	10.5	4	-0.874868
4	1	0	15	10	541.992	0.141709	0.792749	0.805817	0.209598	-0.356202	0.441625	0.5	10.5	4	-0.482067
